fips,county,state,iso_3166_2,total_homeowners,total_mortgages,predicted_foreclosure_rate,white_ho_share,RGDP_2012,unemp_rate,api_total_med_owner_cost,api_w_mort_med_owner_cost,api_w_o_mort_med_owner_cost,api_share_never_married,api_share_married,api_share_divorced,api_share_separated,api_share_widowed,api_share_other_than_married,api_share_less_hs,api_share_hs_or_equiv,api_share_some_col_or_assoc,api_share_bachelor,api_share_grad_or_prof,api_month_med_income,api_cost_to_income_ratio
01001,Autauga County,Alabama,AL,15518,9429,0.009,0.818,1501769,0.0288058136050345,840,1209,363,0.28174110392669,0.536055324797671,0.112576542628356,0.0166359782469062,0.0529910504003768,0.46394467520233,0.123941092141275,0.33220383161736,0.276554150918806,0.158608106346931,0.108692818975629,2477.08333333333,0.339108494533222
01009,Blount County,Alabama,AL,16755,9322,0.011,0.919,869049,0.0283291653641763,595,1144,341,0.221802436643036,0.564566795432356,0.119030436812837,0.0163221123233009,0.0782782187884705,0.435433204567644,0.199369959677419,0.331905241935484,0.339339717741936,0.0871975806451613,0.0421875,2248,0.264679715302491
01017,Chambers County,Alabama,AL,9632,4560,0.014,0.633,819345,0.030875,582,956,345,0.315865401954773,0.442925668121326,0.126086486096585,0.029213402099037,0.0859090417282793,0.557074331878674,0.179811528992274,0.368919263095339,0.319084811953477,0.0944477459886238,0.0377366499702861,1896.16666666667,0.306935044387799
01021,Chilton County,Alabama,AL,12419,5879,0.011,0.888,929435,0.0288762093773257,561,1045,336,0.256878418174169,0.511793577338382,0.136446501191979,0.0173608189594727,0.0775206843359978,0.488206422661618,0.180411172739048,0.447640240459663,0.243216314058919,0.0836294795576074,0.045102793184762,2011,0.278965688712084
01033,Colbert County,Alabama,AL,15157,7299,0.009,0.853,2375926,0.0395998505666016,603,1040,382,0.257698541329011,0.510837385197191,0.131885467314965,0.0192328471096704,0.0803457590491626,0.489162614802809,0.147368154286728,0.379203730454396,0.293494513292278,0.115816417040472,0.0641171849261259,2109,0.285917496443812
01045,Dale County,Alabama,AL,12479,6775,0.012,0.8,2638931,0.0330641693344164,622,994,315,0.262793662356584,0.488617738116919,0.149959674272186,0.0231287561464214,0.0755001691078908,0.511382261883082,0.136879410576056,0.330773774365033,0.351478223023596,0.117667174433426,0.0632014176018901,2063.91666666667,0.301368756813501
01051,Elmore County,Alabama,AL,22687,13786,0.008,0.831,1709071,0.0276558616678124,901,1258,343,0.275654418090205,0.517819835320143,0.124877104583999,0.015500184343124,0.0661484576625292,0.482180164679857,0.130702278196985,0.328302842770027,0.295984655194253,0.161645223748258,0.0833650000904765,2499,0.360544217687075
01065,Hale County,Alabama,AL,3671,1451,0.021,0.446,272988,0.0417813765182186,532,1034,347,0.386736391728072,0.396402820695666,0.112352428492196,0.0286031217811584,0.0759052373029079,0.603597179304334,0.16422904120065,0.433610553484371,0.269955071216901,0.0867985852212982,0.0454067488767804,1597.25,0.333072468304899
01079,Lawrence County,Alabama,AL,9554,5166,0.009,0.781,506829,0.0333379443906488,550,1032,331,0.242529714518458,0.538601103417633,0.128448180101455,0.0206983374680638,0.0697226644943903,0.461398896582368,0.205845312025014,0.413384288009728,0.255526121509532,0.0870282711599427,0.0382160072957832,2058.16666666667,0.267228115636893
01083,Limestone County,Alabama,AL,27532,18584,0.005,0.848,3268954,0.0282429337069406,811,1187,359,0.279997341839447,0.52085326953748,0.118793195108985,0.0144338118022329,0.0659223817118554,0.47914673046252,0.146360249618813,0.308282377351966,0.285458289450933,0.17533049342157,0.0845685901567191,2372.75,0.341797492361184
01099,Monroe County,Alabama,AL,5656,1938,0.014,0.579,699127,0.0509066487575554,481,1009,329,0.34706151907435,0.423931721846718,0.107858861267041,0.0284110436476114,0.09273685416428,0.576068278153282,0.145783706526918,0.470019737289866,0.25107193901858,0.0882052678146056,0.0449193493500306,1725.5,0.278759779773979
01107,Pickens County,Alabama,AL,5975,3428,0.012,0.637,404838,0.037101593625498,498,994,344,0.327466635584824,0.437846028323329,0.106882685471181,0.0424849932979777,0.0853196573226878,0.562153971676671,0.176286291164798,0.379516814036065,0.297152405486319,0.101301956415791,0.0457425328970271,1692.58333333333,0.294224804293241
01121,Talladega County,Alabama,AL,23191,10179,0.013,0.718,3031903,0.0361568822279264,616,1036,347,0.304953069028582,0.451172140687112,0.127990810296096,0.0327232055138223,0.0831607744743882,0.548827859312888,0.196113074204947,0.33595674055038,0.318485205411,0.0919084841346325,0.0575364956990399,1859.41666666667,0.331286693855599
05141,Van Buren County,Arkansas,AR,5085,2242,0.013,0.96,642924,0.049163179916318,537,987,328,0.187915055097424,0.553601401153032,0.143107348755747,0.0239363642997884,0.0914398306940086,0.446398598846968,0.154781739420193,0.429606797734089,0.270409863378874,0.0909696767744085,0.0542319226924359,1691.83333333333,0.317407152004729
05145,White County,Arkansas,AR,19834,10164,0.015,0.936,2231720,0.0441936441936442,665,1032,350,0.25268303737637,0.522459815141558,0.132395551742558,0.0259157939038801,0.0665458018356346,0.477540184858443,0.153106275622832,0.381385998107852,0.251340271207821,0.129888047934406,0.0842794071270892,1955.83333333333,0.340008521516831
06005,Amador County,California,CA,10687,6257,0.009,0.885,1786635,0.0390993663206148,1191,1774,561,0.245438175270108,0.530372148859544,0.135294117647059,0.024639855942377,0.0642557022809124,0.469627851140456,0.104290163769718,0.274389631266955,0.431025821360394,0.129274255668308,0.0610201279346261,2596.66666666667,0.458664955070603
06021,Glenn County,California,CA,6760,3959,0.011,0.681,1310042,0.0617264970405104,979,1518,422,0.255507828737703,0.56232968454113,0.104891229042538,0.0271119116899912,0.0501593459886379,0.43767031545887,0.241046831955923,0.27603305785124,0.338292011019284,0.113333333333333,0.0312947658402204,2027.41666666667,0.482880512968062
06033,Lake County,California,CA,15637,8119,0.016,0.855,2189985,0.0511647111447545,937,1561,505,0.285435495178006,0.438678262187613,0.160215237120825,0.0260709751984691,0.0896000303150874,0.561321737812388,0.142438960926319,0.300967084435578,0.398282666204085,0.106184136345895,0.0521271520881218,2097.66666666667,0.446686794851422
06043,Mariposa County,California,CA,5145,3013,0.012,0.878,862546,0.0459604556763127,845,1659,447,0.246489551058079,0.528973564506559,0.130331597336673,0.016546904871778,0.0776583822269102,0.471026435493441,0.0998626075638152,0.244486224600477,0.409212524405235,0.154313399378118,0.0921252440523538,2306.5,0.366355950574464
06055,Napa County,California,CA,31490,20409,0.011,0.736,10283597,0.0288097249856905,1922,2665,675,0.314232965523163,0.50356790176463,0.110523378128891,0.0129835558799536,0.0586921987033618,0.49643209823537,0.143905318217898,0.181537866606965,0.324293244865976,0.226751877556836,0.123511692752325,3162.75,0.607698996126788
06089,Shasta County,California,CA,45507,27021,0.01,0.883,8412829,0.0480007673545452,1111,1593,499,0.269835480995218,0.505092254909906,0.139537239646649,0.0180390091039252,0.0674960153443013,0.494907745090094,0.0892808001069325,0.253414371417564,0.437118168308658,0.147150169440884,0.0730364907259618,2250,0.493777777777778
06099,Stanislaus County,California,CA,99087,67918,0.013,0.594,23715709,0.0609730495169331,1362,1702,503,0.346242917208455,0.478599766517022,0.101887795294274,0.0218534372300946,0.0514160837501542,0.521400233482978,0.20919897303488,0.292819112508633,0.327824518355107,0.118068932556601,0.0520884635447782,2320,0.587068965517242
06115,Yuba County,California,CA,14865,9982,0.015,0.674,3345409,0.0615141955835962,1302,1677,446,0.303147432357813,0.510387907233573,0.106709000552181,0.023795554942021,0.0559601049144119,0.489612092766427,0.178344483358849,0.23440219784829,0.415766625422058,0.123125642262442,0.0483610511083615,2323.08333333333,0.560462029630162
08003,Alamosa County,Colorado,CO,4554,2301,0.009,0.561,743667,0.0340329657298708,783,1142,322,0.345785285041416,0.480591197011532,0.102972226733799,0.0185967191814195,0.0520545720318337,0.519408802988469,0.130799959028987,0.280139301444228,0.323363720167981,0.157738400081942,0.107958619276862,1770.08333333333,0.442352054987996
08013,Boulder County,Colorado,CO,84528,60141,0.008,0.875,27509931,0.0226328230005098,1607,2049,587,0.36487117304824,0.473693798317223,0.114458448611538,0.0102773128697916,0.0366992671532071,0.526306201682777,0.0472196848865772,0.11884669812437,0.217569300815471,0.336094164864238,0.280270151309344,3066.16666666667,0.5241071913899
08014,Broomfield County,Colorado,CO,18564,13964,0.007,0.838,6845862,0.0237757715934244,1701,2024,537,0.278907810864808,0.570507087812768,0.103510607934545,0.0074398249452954,0.039634668442584,0.429492912187232,0.029012634534394,0.147001804933485,0.264277915190409,0.353187601666778,0.206520043674934,3917.75,0.434177780613873
08025,Crowley County,Colorado,CO,1359,708,0.02,0.756,154568,0.0408031088082902,623,976,325,0.434723831595211,0.36461954422557,0.129200463499421,0.0351487060641174,0.0363074546156817,0.63538045577443,0.162216624685139,0.401007556675063,0.346347607052897,0.0763224181360202,0.0141057934508816,1502.66666666667,0.414596273291925
08031,Denver County,Colorado,CO,148019,110724,0.01,0.707,72850983,0.0260209232008709,1504,1805,492,0.415931263112709,0.40292931678582,0.123092677225217,0.017082509434255,0.0409642334419989,0.59707068321418,0.121654866906617,0.171951508919037,0.218575722817704,0.296719139342641,0.191098762014002,3317.16666666667,0.453398985077626
