fips,state_fips,county_fips,county,census_area,state,iso_3166_2,puma_estimate,homeowners_less_100ami,homeowners_less_150ami,mortgage_less_100ami,mortgage_less_150ami,total_homeowners,total_mortgages,100to150_ami_non_white,100to150_ami_white,predicted_foreclosure_rate,black_ho_share,white_ho_share,asian_ho_share,hisp_ho_share,other_ho_share,mortgage_share,med_owner_cost,med_owncost_income_ratio,cost_burden,share_cost_burden,share_severe_burden,prop_cb_test,RGDP_2012,Combined_Area,labor_force,employed,unemployed,unemp_rate,marital_rate
01001,01,001,Autauga County,594.436,Alabama,AL,Y,9401,10250,4931,5654,15518,9429,158,691,0.009,0.144,0.818,0.005,0.022,0.014,0.608,860,0.159,2390,0.25,0.108,0.253473326969986,1501769,0,26696,25927,769,0.0288058136050345,0.067
01009,01,009,Blount County,644.776,Alabama,AL,Y,10759,12906,4774,6412,16755,9322,146,2001,0.011,0.007,0.919,0.002,0.061,0.017,0.556,735,0.149,1628,0.202,0.07,0.174640635056855,869049,0,25592,24867,725,0.0283291653641763,0.067
01017,01,017,Chambers County,596.531,Alabama,AL,Y,6835,6916,2769,2817,9632,4560,6,75,0.014,0.349,0.633,0.001,0.012,0.006,0.473,559,0.136,1244,0.284,0.13,0.27280701754386,819345,0,16000,15506,494,0.030875,0.067
01021,01,021,Chilton County,692.854,Alabama,AL,Y,8812,8956,3570,3654,12419,5879,8,136,0.011,0.067,0.888,0.001,0.037,0.025,0.473,560,0.137,1697,0.287,0.155,0.288654533083858,929435,0,20155,19573,582,0.0288762093773257,0.067
01033,01,033,Colbert County,592.619,Alabama,AL,Y,10159,10751,4198,4683,15157,7299,61,531,0.009,0.119,0.853,0.003,0.009,0.022,0.482,612,0.144,1863,0.237,0.094,0.255240443896424,2375926,0,24091,23137,954,0.0395998505666016,0.067
01045,01,045,Dale County,561.15,Alabama,AL,Y,8256,8411,3868,4005,12479,6775,38,117,0.012,0.142,0.8,0.012,0.03,0.024,0.543,661,0.145,1318,0.218,0.091,0.194538745387454,2638931,0,20929,20237,692,0.0330641693344164,0.067
01051,01,051,Elmore County,618.485,Alabama,AL,Y,13744,14985,7209,8266,22687,13786,231,1010,0.008,0.134,0.831,0.003,0.01,0.023,0.608,856,0.159,2733,0.201,0.08,0.198244595966923,1709071,0,37822,36776,1046,0.0276558616678124,0.067
01065,01,065,Hale County,643.943,Alabama,AL,Y,2772,2999,927,1057,3671,1451,74,154,0.021,0.552,0.446,0,0,0.002,0.395,517,0.171,611,0.38,0.165,0.421088904203997,272988,0,6175,5917,258,0.0417813765182186,0.067
01079,01,079,Lawrence County,690.678,Alabama,AL,Y,6133,6440,2803,3066,9554,5166,44,263,0.009,0.11,0.781,0.001,0.014,0.097,0.541,715,0.145,1398,0.317,0.14,0.27061556329849,506829,0,14458,13976,482,0.0333379443906488,0.067
01083,01,083,Limestone County,559.936,Alabama,AL,Y,14327,18640,8136,11393,27532,18584,989,3323,0.005,0.099,0.848,0.009,0.026,0.024,0.675,970,0.147,2557,0.172,0.076,0.137591476538958,3268954,0,44967,43697,1270,0.0282429337069406,0.067
