State,Name,RGDP_2012,Combined_Area
Alabama,Autauga County,1501769,0
Alabama,Baldwin County,6140514,0
Alabama,Barbour County,762856,0
Alabama,Bibb County,389547,0
Alabama,Blount County,869049,0
Alabama,Bullock County,246089,0
Alabama,Butler County,601174,0
Alabama,Calhoun County,4050073,0
Alabama,Chambers County,819345,0
Alabama,Cherokee County,531160,0
Alabama,Chilton County,929435,0
Alabama,Choctaw County,540271,0
Alabama,Clarke County,770838,0
Alabama,Clay County,395198,0
Alabama,Cleburne County,276518,0
Alabama,Coffee County,1344913,0
Alabama,Colbert County,2375926,0
Alabama,Conecuh County,461600,0
Alabama,Coosa County,174730,0
Alabama,Covington County,1121281,0
Alabama,Crenshaw County,431331,0
Alabama,Cullman County,2581754,0
Alabama,Dale County,2638931,0
Alabama,Dallas County,1193935,0
Alabama,DeKalb County,1879778,0
Alabama,Elmore County,1709071,0
Alabama,Escambia County,1244239,0
Alabama,Etowah County,2915965,0
Alabama,Fayette County,343241,0
Alabama,Franklin County,948279,0
Alabama,Geneva County,534804,0
Alabama,Greene County,244098,0
Alabama,Hale County,272988,0
Alabama,Henry County,410939,0
Alabama,Houston County,4906396,0
Alabama,Jackson County,1405878,0
Alabama,Jefferson County,41359665,0
Alabama,Lamar County,329681,0
Alabama,Lauderdale County,2440671,0
Alabama,Lawrence County,506829,0
Alabama,Lee County,5265738,0
Alabama,Limestone County,3268954,0
Alabama,Lowndes County,412296,0
Alabama,Macon County,506149,0
Alabama,Madison County,22979842,0
Alabama,Marengo County,686093,0
Alabama,Marion County,831902,0
Alabama,Marshall County,3199310,0
Alabama,Mobile County,18484941,0
Alabama,Monroe County,699127,0
Alabama,Montgomery County,12552254,0
Alabama,Morgan County,5320638,0
Alabama,Perry County,217199,0
Alabama,Pickens County,404838,0
Alabama,Pike County,1270861,0
Alabama,Randolph County,475636,0
Alabama,Russell County,1346443,0
Alabama,St. Clair County,1794101,0
Alabama,Shelby County,10075696,0
Alabama,Sumter County,326968,0
Alabama,Talladega County,3031903,0
Alabama,Tallapoosa County,1258097,0
Alabama,Tuscaloosa County,10123989,0
Alabama,Walker County,1778581,0
Alabama,Washington County,791030,0
Alabama,Wilcox County,419477,0
Alabama,Winston County,686336,0
Alaska,Aleutians East Borough,218523,0
Alaska,Aleutians West Census Area,396409,0
Alaska,Anchorage Municipality,20827222,0
Alaska,Bethel Census Area,693164,0
Alaska,Bristol Bay Borough,134856,0
Alaska,Denali Borough,250964,0
Alaska,Dillingham Census Area,254343,0
Alaska,Fairbanks North Star Borough,5217255,0
Alaska,Haines Borough,105192,0
Alaska,Hoonah-Angoon Census Area,95817,0
Alaska,Juneau City and Borough,2254614,0
Alaska,Kenai Peninsula Borough,2962394,0
Alaska,Ketchikan Gateway Borough,832093,0
Alaska,Kodiak Island Borough,719261,0
Alaska,Kusilvak Census Area,155070,0
Alaska,Lake and Peninsula Borough,93623,0
Alaska,Matanuska-Susitna Borough,2412574,0
Alaska,Nome Census Area,421324,0
Alaska,North Slope Borough,10534598,0
Alaska,Northwest Arctic Borough,653068,0
Alaska,Petersburg Borough,193395,0
Alaska,Prince of Wales-Hyder Census Area,262374,0
Alaska,Sitka City and Borough,453860,0
Alaska,Skagway Municipality,111305,0
Alaska,Southeast Fairbanks Census Area,582719,0
Alaska,Valdez-Cordova Census Area,1804363,0
Alaska,Wrangell City and Borough,93999,0
Alaska,Yakutat City and Borough,29730,0
Alaska,Yukon-Koyukuk Census Area,285633,0
Arizona,Apache County,2490196,0
Arizona,Cochise County,4589330,0
Arizona,Coconino County,6764676,0
Arizona,Gila County,1941036,0
Arizona,Graham County,1067613,0
Arizona,Greenlee County,1799562,0
Arizona,La Paz County,697076,0
Arizona,Maricopa County,229821077,0
Arizona,Mohave County,5200986,0
Arizona,Navajo County,3020876,0
Arizona,Pima County,42169490,0
Arizona,Pinal County,7640162,0
