full_fips,api_med_income,api_month_med_income
17051,24407,2033.91666666667
17107,30474,2539.5
17165,24185,2015.41666666667
17097,37491,3124.25
17127,23617,1968.08333333333
17017,29595,2466.25
18069,28502,2375.16666666667
18181,29443,2453.58333333333
18075,26060,2171.66666666667
18145,31848,2654
18153,25703,2141.91666666667
18157,24925,2077.08333333333
18057,46631,3885.91666666667
18005,31874,2656.16666666667
18049,27488,2290.66666666667
18113,30171,2514.25
18019,30746,2562.16666666667
18063,38755,3229.58333333333
18053,23127,1927.25
18071,28439,2369.91666666667
18119,26749,2229.08333333333
18183,32719,2726.58333333333
18023,28155,2346.25
18161,27248,2270.66666666667
18029,31366,2613.83333333333
18093,27398,2283.16666666667
18123,28928,2410.66666666667
18129,31535,2627.91666666667
18015,30193,2516.08333333333
18045,28168,2347.33333333333
18149,25585,2132.08333333333
18055,26319,2193.25
19011,34887,2907.25
19061,31437,2619.75
19151,30587,2548.91666666667
19177,25755,2146.25
19003,30028,2502.33333333333
19009,28804,2400.33333333333
19051,30912,2576
19093,32594,2716.16666666667
19135,32954,2746.16666666667
19167,30737,2561.41666666667
19025,27215,2267.91666666667
19033,31419,2618.25
19083,30203,2516.91666666667
19117,31208,2600.66666666667
19147,30217,2518.08333333333
19087,28551,2379.25
19099,30938,2578.16666666667
19157,30154,2512.83333333333
19043,27442,2286.83333333333
19017,33610,2800.83333333333
19063,27184,2265.33333333333
19081,31690,2640.83333333333
19097,32335,2694.58333333333
19111,26580,2215
19181,39189,3265.75
19123,27150,2262.5
19041,27708,2309
19055,31467,2622.25
13005,22385,1865.41666666667
13025,20927,1743.91666666667
13017,20795,1732.91666666667
13033,25474,2122.83333333333
13047,27313,2276.08333333333
13053,24681,2056.75
13055,21970,1830.83333333333
13073,36592,3049.33333333333
13087,24110,2009.16666666667
13115,24845,2070.41666666667
13117,44964,3747
13137,25266,2105.5
13147,24057,2004.75
13185,24530,2044.16666666667
13191,27312,2276
13199,21327,1777.25
